Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01JAN2021-00.00.00
End Date:          31JAN2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
     1) 2021/01/01 00:00:00     4.595      0.124  
     2) 2021/01/01 00:15:00     4.632      0.112  
     3) 2021/01/01 00:30:00     4.637      0.103  
     4) 2021/01/01 00:45:00     4.601      0.081  
     5) 2021/01/01 01:00:00     4.542      0.053  
     6) 2021/01/01 01:15:00     4.477      0.026  
     7) 2021/01/01 01:30:00     4.428      0.015  
     8) 2021/01/01 01:45:00     4.402      0.028  
     9) 2021/01/01 02:00:00     4.382      0.058  
    10) 2021/01/01 02:15:00     4.334      0.083  
    11) 2021/01/01 02:30:00     4.227      0.086  
    12) 2021/01/01 02:45:00     4.043      0.059  
    13) 2021/01/01 03:00:00     3.803      0.026  
    14) 2021/01/01 03:15:00     3.528      0.006  
    15) 2021/01/01 03:30:00     3.232      0.002  
    16) 2021/01/01 03:45:00     2.917      0.004  
    17) 2021/01/01 04:00:00     2.597      0.010  
    18) 2021/01/01 04:15:00     2.268      0.003  
    19) 2021/01/01 04:30:00     1.949     -0.014  
    20) 2021/01/01 04:45:00     1.659     -0.036  
    21) 2021/01/01 05:00:00     1.418     -0.056  
    22) 2021/01/01 05:15:00     1.251     -0.061  
    23) 2021/01/01 05:30:00     1.165     -0.052  
    24) 2021/01/01 05:45:00     1.178     -0.011  
    25) 2021/01/01 06:00:00     1.255      0.032  
    26) 2021/01/01 06:15:00     1.364      0.057  
    27) 2021/01/01 06:30:00     1.500      0.073  
    28) 2021/01/01 06:45:00     1.648      0.083  
    29) 2021/01/01 07:00:00     1.798      0.090  
    30) 2021/01/01 07:15:00     1.939      0.094  
    31) 2021/01/01 07:30:00     2.064      0.097  
    32) 2021/01/01 07:45:00     2.168      0.096  
    33) 2021/01/01 08:00:00     2.249      0.093  
    34) 2021/01/01 08:15:00     2.307      0.082  
    35) 2021/01/01 08:30:00     2.347      0.061  
    36) 2021/01/01 08:45:00     2.392      0.044  
    37) 2021/01/01 09:00:00     2.459      0.035  
    38) 2021/01/01 09:15:00     2.569      0.042  
    39) 2021/01/01 09:30:00     2.722      0.059  
    40) 2021/01/01 09:45:00     2.908      0.075  
    41) 2021/01/01 10:00:00     3.111      0.079  
    42) 2021/01/01 10:15:00     3.321      0.073  
    43) 2021/01/01 10:30:00     3.538      0.069  
    44) 2021/01/01 10:45:00     3.763      0.080  
    45) 2021/01/01 11:00:00     3.978      0.094  
    46) 2021/01/01 11:15:00     4.181      0.115  
    47) 2021/01/01 11:30:00     4.347      0.120  
    48) 2021/01/01 11:45:00     4.478      0.114  
    49) 2021/01/01 12:00:00     4.565      0.093  
    50) 2021/01/01 12:15:00     4.620      0.075  
    51) 2021/01/01 12:30:00     4.646      0.066  
    52) 2021/01/01 12:45:00     4.637      0.060  
    53) 2021/01/01 13:00:00     4.589      0.046  
    54) 2021/01/01 13:15:00     4.515      0.026  
    55) 2021/01/01 13:30:00     4.436      0.010  
    56) 2021/01/01 13:45:00     4.376      0.012  
    57) 2021/01/01 14:00:00     4.343      0.038  
    58) 2021/01/01 14:15:00     4.323      0.081  
    59) 2021/01/01 14:30:00     4.280      0.117  
    60) 2021/01/01 14:45:00     4.174      0.121  
    61) 2021/01/01 15:00:00     3.987      0.087  
    62) 2021/01/01 15:15:00     3.743      0.043  
    63) 2021/01/01 15:30:00     3.465      0.013  
    64) 2021/01/01 15:45:00     3.167      0.002  
    65) 2021/01/01 16:00:00     2.849     -0.002  
    66) 2021/01/01 16:15:00     2.524      0.002  
    67) 2021/01/01 16:30:00     2.186     -0.007  
    68) 2021/01/01 16:45:00     1.859     -0.019  
    69) 2021/01/01 17:00:00     1.556     -0.034  
    70) 2021/01/01 17:15:00     1.306     -0.038  
    71) 2021/01/01 17:30:00     1.110     -0.044  
    72) 2021/01/01 17:45:00     1.007     -0.022  
    73) 2021/01/01 18:00:00     0.999      0.026  
    74) 2021/01/01 18:15:00     1.046      0.064  
    75) 2021/01/01 18:30:00     1.130      0.082  
    76) 2021/01/01 18:45:00     1.252      0.098  
    77) 2021/01/01 19:00:00     1.397      0.112  
    78) 2021/01/01 19:15:00     1.551      0.125  
    79) 2021/01/01 19:30:00     1.692      0.128  
    80) 2021/01/01 19:45:00     1.818      0.126  
    81) 2021/01/01 20:00:00     1.927      0.123  
    82) 2021/01/01 20:15:00     2.015      0.118  
    83) 2021/01/01 20:30:00     2.075      0.101  
    84) 2021/01/01 20:45:00     2.122      0.082  
    85) 2021/01/01 21:00:00     2.167      0.064  
    86) 2021/01/01 21:15:00     2.229      0.052  
    87) 2021/01/01 21:30:00     2.331      0.059  
    88) 2021/01/01 21:45:00     2.473      0.074  
    89) 2021/01/01 22:00:00     2.649      0.089  
    90) 2021/01/01 22:15:00     2.849      0.096  
    91) 2021/01/01 22:30:00     3.062      0.094  
    92) 2021/01/01 22:45:00     3.278      0.084  
    93) 2021/01/01 23:00:00     3.506      0.088  
    94) 2021/01/01 23:15:00     3.734      0.101  
    95) 2021/01/01 23:30:00     3.951      0.116  
    96) 2021/01/01 23:45:00     4.153      0.134  
    97) 2021/01/02 00:00:00     4.318      0.134  
    98) 2021/01/02 00:15:00     4.449      0.125  
    99) 2021/01/02 00:30:00     4.537      0.104  
   100) 2021/01/02 00:45:00     4.591      0.085  
   101) 2021/01/02 01:00:00     4.613      0.072  
   102) 2021/01/02 01:15:00     4.597      0.056  
   103) 2021/01/02 01:30:00     4.551      0.036  
   104) 2021/01/02 01:45:00     4.493      0.016  
   105) 2021/01/02 02:00:00     4.436      0.000  
   106) 2021/01/02 02:15:00     4.400      0.004  
   107) 2021/01/02 02:30:00     4.378      0.025  
   108) 2021/01/02 02:45:00     4.351      0.055  
   109) 2021/01/02 03:00:00     4.281      0.070  
   110) 2021/01/02 03:15:00     4.139      0.055  
   111) 2021/01/02 03:30:00     3.925      0.016  
   112) 2021/01/02 03:45:00     3.667     -0.018  
   113) 2021/01/02 04:00:00     3.381     -0.037  
   114) 2021/01/02 04:15:00     3.073     -0.048  
   115) 2021/01/02 04:30:00     2.758     -0.047  
   116) 2021/01/02 04:45:00     2.430     -0.053  
   117) 2021/01/02 05:00:00     2.099     -0.070  
   118) 2021/01/02 05:15:00     1.787     -0.090  
   119) 2021/01/02 05:30:00     1.506     -0.115  
   120) 2021/01/02 05:45:00     1.295     -0.121  
   121) 2021/01/02 06:00:00     1.155     -0.117  
   122) 2021/01/02 06:15:00     1.123     -0.073  
   123) 2021/01/02 06:30:00     1.168     -0.019  
   124) 2021/01/02 06:45:00     1.259      0.021  
   125) 2021/01/02 07:00:00     1.375      0.040  
   126) 2021/01/02 07:15:00     1.508      0.048  
   127) 2021/01/02 07:30:00     1.652      0.053  
   128) 2021/01/02 07:45:00     1.796      0.058  
   129) 2021/01/02 08:00:00     1.931      0.062  
   130) 2021/01/02 08:15:00     2.046      0.060  
   131) 2021/01/02 08:30:00     2.135      0.049  
   132) 2021/01/02 08:45:00     2.200      0.030  
   133) 2021/01/02 09:00:00     2.242      0.001  
   134) 2021/01/02 09:15:00     2.281     -0.027  
   135) 2021/01/02 09:30:00     2.332     -0.047  
   136) 2021/01/02 09:45:00     2.418     -0.050  
   137) 2021/01/02 10:00:00     2.550     -0.035  
   138) 2021/01/02 10:15:00     2.720     -0.013  
   139) 2021/01/02 10:30:00     2.911     -0.002  
   140) 2021/01/02 10:45:00     3.121      0.005  
   141) 2021/01/02 11:00:00     3.331     -0.000  
   142) 2021/01/02 11:15:00     3.552      0.006  
   143) 2021/01/02 11:30:00     3.768      0.018  
   144) 2021/01/02 11:45:00     3.974      0.034  
   145) 2021/01/02 12:00:00     4.160      0.049  
   146) 2021/01/02 12:15:00     4.312      0.050  
   147) 2021/01/02 12:30:00     4.421      0.033  
   148) 2021/01/02 12:45:00     4.493      0.009  
   149) 2021/01/02 13:00:00     4.530     -0.014  
   150) 2021/01/02 13:15:00     4.539     -0.025  
   151) 2021/01/02 13:30:00     4.518     -0.028  
   152) 2021/01/02 13:45:00     4.470     -0.030  
   153) 2021/01/02 14:00:00     4.398     -0.039  
   154) 2021/01/02 14:15:00     4.329     -0.041  
   155) 2021/01/02 14:30:00     4.276     -0.030  
   156) 2021/01/02 14:45:00     4.240     -0.003  
   157) 2021/01/02 15:00:00     4.209      0.035  
   158) 2021/01/02 15:15:00     4.142      0.058  
   159) 2021/01/02 15:30:00     4.007      0.047  
   160) 2021/01/02 15:45:00     3.796      0.004  
   161) 2021/01/02 16:00:00     3.537     -0.040  
   162) 2021/01/02 16:15:00     3.248     -0.073  
   163) 2021/01/02 16:30:00     2.943     -0.089  
   164) 2021/01/02 16:45:00     2.627     -0.096  
   165) 2021/01/02 17:00:00     2.298     -0.107  
   166) 2021/01/02 17:15:00     1.972     -0.117  
   167) 2021/01/02 17:30:00     1.658     -0.131  
   168) 2021/01/02 17:45:00     1.381     -0.138  
   169) 2021/01/02 18:00:00     1.156     -0.136  
   170) 2021/01/02 18:15:00     1.008     -0.113  
   171) 2021/01/02 18:30:00     0.955     -0.062  
