Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01MAY2021-00.00.00
End Date:          31MAY2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
     1) 2021/05/01 00:00:00     3.696      0.032  
     2) 2021/05/01 00:15:00     3.951      0.056  
     3) 2021/05/01 00:30:00     4.193      0.085  
     4) 2021/05/01 00:45:00     4.401      0.101  
     5) 2021/05/01 01:00:00     4.558      0.096  
     6) 2021/05/01 01:15:00     4.684      0.097  
     7) 2021/05/01 01:30:00     4.767      0.100  
     8) 2021/05/01 01:45:00     4.819      0.119  
     9) 2021/05/01 02:00:00     4.830      0.137  
    10) 2021/05/01 02:15:00     4.793      0.135  
    11) 2021/05/01 02:30:00     4.711      0.101  
    12) 2021/05/01 02:45:00     4.624      0.063  
    13) 2021/05/01 03:00:00     4.556      0.039  
    14) 2021/05/01 03:15:00     4.531      0.058  
    15) 2021/05/01 03:30:00     4.521      0.104  
    16) 2021/05/01 03:45:00     4.487      0.157  
    17) 2021/05/01 04:00:00     4.384      0.186  
    18) 2021/05/01 04:15:00     4.186      0.173  
    19) 2021/05/01 04:30:00     3.921      0.149  
    20) 2021/05/01 04:45:00     3.623      0.141  
    21) 2021/05/01 05:00:00     3.296      0.142  
    22) 2021/05/01 05:15:00     2.957      0.158  
    23) 2021/05/01 05:30:00     2.593      0.163  
    24) 2021/05/01 05:45:00     2.221      0.162  
    25) 2021/05/01 06:00:00     1.849      0.146  
    26) 2021/05/01 06:15:00     1.492      0.112  
    27) 2021/05/01 06:30:00     1.188      0.078  
    28) 2021/05/01 06:45:00     0.936      0.027  
    29) 2021/05/01 07:00:00     0.797      0.007  
    30) 2021/05/01 07:15:00     0.776      0.024  
    31) 2021/05/01 07:30:00     0.816      0.029  
    32) 2021/05/01 07:45:00     0.895      0.017  
    33) 2021/05/01 08:00:00     1.015      0.012  
    34) 2021/05/01 08:15:00     1.172      0.030  
    35) 2021/05/01 08:30:00     1.350      0.070  
    36) 2021/05/01 08:45:00     1.520      0.112  
    37) 2021/05/01 09:00:00     1.667      0.146  
    38) 2021/05/01 09:15:00     1.794      0.176  
    39) 2021/05/01 09:30:00     1.892      0.191  
    40) 2021/05/01 09:45:00     1.965      0.192  
    41) 2021/05/01 10:00:00     2.012      0.172  
    42) 2021/05/01 10:15:00     2.052      0.140  
    43) 2021/05/01 10:30:00     2.111      0.111  
    44) 2021/05/01 10:45:00     2.204      0.092  
    45) 2021/05/01 11:00:00     2.341      0.084  
    46) 2021/05/01 11:15:00     2.516      0.080  
    47) 2021/05/01 11:30:00     2.716      0.073  
    48) 2021/05/01 11:45:00     2.934      0.063  
    49) 2021/05/01 12:00:00     3.157      0.049  
    50) 2021/05/01 12:15:00     3.393      0.047  
    51) 2021/05/01 12:30:00     3.629      0.051  
    52) 2021/05/01 12:45:00     3.870      0.071  
    53) 2021/05/01 13:00:00     4.080      0.076  
    54) 2021/05/01 13:15:00     4.266      0.079  
    55) 2021/05/01 13:30:00     4.410      0.071  
    56) 2021/05/01 13:45:00     4.510      0.057  
    57) 2021/05/01 14:00:00     4.591      0.068  
